from_stop,to_stop,mode,distance_m,weight
stop_95_001,stop_95_002,lrt,695.6627584671123,0.02318875861557041
stop_95_002,stop_95_003,lrt,928.75293513258,0.030958431171085998
stop_95_003,stop_95_004,lrt,657.7797013337946,0.02192599004445982
stop_95_004,stop_95_005,lrt,652.3677954377295,0.02174559318125765
stop_95_005,stop_95_006,lrt,0.0,0.0
stop_95_006,stop_95_007,lrt,645.5371997481584,0.021517906658271947
stop_95_007,stop_95_008,lrt,689.8840114291559,0.022996133714305197
stop_95_008,stop_95_009,lrt,716.6150099781678,0.02388716699927226
stop_95_009,stop_95_010,lrt,1223.8960146701072,0.04079653382233691
stop_95_010,stop_95_011,lrt,747.7255419709966,0.02492418473236655
stop_95_011,stop_95_012,lrt,1612.3640300024772,0.05374546766674924
